Issue Type,Status,Priority,Summary,Original Time Estimated,Total Time Spent
Story,Done,Major,I should be able to get information about schools so that I can make school selections,-,1d 5h
Story,Done,Major,I should be able to pick essay type that I want to practice,-,1h 30m
Story,Closed,Major,I should be able to upload my essay to get it marked,-,3h 45m
Bug,Closed,Critical,Getting 500 when using the practice more like this functionality,-,2h
Task,Done,Major,Add table showing the breakdown of questions by strand,2h,-
Story,Done,Critical,I should be able to pay for subscription,-,-
Task,Done,Major,Make it so that if a quota is not met for a section or query it is rerun without the student id,-,-
Story,Done,Blocker,As a parent I should be able to mark an answer as correct,-,-
Task,Done,Major,Add terms and conditions and privacy policy,-,-
Bug,Closed,Major,Regrading exercise causes the answers to disappear when complete,-,-
Story,Done,Blocker,As an admin I should be able to create an exercise,-,-
Bug,Closed,Major,Section 2 does not have the correct total sometimes,-,-
Story,Done,Major,As a std 4 parent I should be able to assign exercises to my child that they should be able to complete,-,-
Task,Done,Major,Make it so that when the user creates an exercise they are taken to the home screen to see assigned work,-,-
Task,Done,Minor,Make it so that when you edit a question it goes back to the last page you were on,-,-
Bug,Done,Major,Evaluation test has all Qs in one section,-,-
Task,Done,Major,Make it so that the parent exercise name shows in the list for copied exercise,-,-
Task,Closed,Major,Creating a child with the same email address a parent doesnt show an error,-,-
Bug,To Do,Major,Order of sub parts is incorrect,-,-
Bug,Done,Major,First 6 questions wasnt saved,-,-
Bug,Closed,Major,Answers not being saved,-,-
Story,Closed,Major,I should be able to view sample essays at the end,-,-
Bug,Closed,Critical,Cant Mark answer correct,-,-
Task,In Review,Major,Improve analytics to track buyer journers,-,-
Story,Done,Critical,As a parent I should not be able to add more than 1 student,-,-
Bug,Done,Major,Narrative questions showing in report question list,-,-
Task,To Do,Major,Add a conspicuous subscription button to the main menu,-,-
Bug,To Do,Major,Cut off scores from 2017 is what is showing on the tool,-,-
Task,Closed,Major,Update subscription screen to get rid of mention of math,-,-
Task,In Review,Critical,Handover solution,-,1d 2h 17m
 Subtask,Done,Major, Create preliminary build to confirm connectivity,1h,1h 37m
 Subtask,Resolved,Major, Setup CICD pipeline,30m,1h 21m
 Subtask,Resolved,Major, UI updates for consistency,1h,1h 30m
Task,Resolved,Major,Plan Project,6h,6h 17m
Story,Resolved,Major,I should be able to see a confirmation of the information I submitted,-,-
 Subtask,Resolved,Major, Setup confirmation screen,30m,1h 4m
 Subtask,Resolved,Major, Setup a way to configure the redirect URL,15m,-
 Subtask,Resolved,Major, Setup error screen,30m,10m
Story,Done,Major,I should be able to see the maximum insurance updated as I enter information,-,-
 Subtask,Done,Major, Setup form inputs to do calculation,1h,48m
 Subtask,Done,Major, Add computed variable for maximum insurance,30m,-
Story,Resolved,Major,I should be able to submit information in the form,-,-
 Subtask,Done,Major, Add a command for publishing the quote,30m,1h 49m
 Subtask,Done,Major, Create go template for Requirements summary,30m,1h 55m
 Subtask,Done,Major, Create go template for data entry summary,30m,2h 48m
 Subtask,Resolved,Major, Setup sending to hedge hog service,1h,3h 23m
 Subtask,Resolved,Major, Switch to using writing SQL,3h,4h 2m
 Subtask,Done,Major, Setup wkhtmltopdf,1h,50m
 Subtask,Done,Major, Setup pdf generation execution,1h,22m
Story,Resolved,Major,I should be able to see the information I entered in the quote so far,-,-
 Subtask,Done,Major, Setup Vue Form to capture data,1h,1h 41m
 Subtask,Done,Major, Create custom entity respository,1h,1h
 Subtask,Done,Major, Setup api schema,15m,28m
 Subtask,Done,Major, Setup NuxtJS project,30m,39m
 Subtask,Done,Major, Replicate database,30m,-
 Subtask,Done,Major, Setup endpoint to get quote,30m,-
 Subtask,Done,Major, Add method to projection to get quote,30m,-
 Subtask,Done,Major, Setup Docker environment,1h,-
Story,Done,Major,I should be able to manage service requests,-,1h
Task,In Progress,Blocker,QA,0m,-
Task,Done,Major,Remove the magic unmarshal,1h,4h 30m
Task,Closed,Major,Setup terraform workspace for PALM,1h,1h
Task,Closed,Major,Setup frontend app,2h,1h
Task,Closed,Major,For multi add ensure we delete the existing first and then attach the new,2h,-
Story,Done,Major,Manage Clients,-,-
Story,Reopened,Major,I should be able to manage contacts,-,-
Story,Done,Major,I should be able to manage contracts,-,-
Story,Done,Major,I should be able to manage quotes,-,-
Story,Closed,Major,As an accountant I should be able to send an invoice to the client,-,-
Story,Done,Major,As a client I should be able to sign off on a request,-,-
Story,Done,Major,I should be able to manage vendors,-,-
Story,Done,Major,I should be able to manage expenses,-,-
Story,Done,Major,I should be able to manage the price schedule,-,-
Story,Done,Blocker,I should be able to create a new service request,-,-
Story,Reopened,Critical,I should be able to manage invoice,-,-
Story,In Progress,Major,I should be able to manage users,-,-
Task,QA,Major,Enforce role RBAC,-,-
Story,QA,Major,As an user I should be able to send out a service request confirmation,-,-
Story,QA,Critical,As an admin I should be able to download all the documents related to a service request,-,-
Task,To Do,Major,Add screen to mark service request as paid,-,-
Story,QA,Major,I should be able to add items to a price schedule for a vendor,-,-
Subtask,Done,Major,  add a receiver for approvingrejecting the service request,1h,1h 30m
Subtask,Done,Major,  add confirmation screens to show the choice that they selected,1h,1h 30m
Subtask,Done,Major,  Setup controllers for getting a list of requests and viewing a request,1h,1h
Subtask,Done,Major,  Add receiver for creating a service request in an account,1h,1h
Subtask,Done,Major,  Add a receiver for deleting a service request,1h,20m
Subtask,Done,Major,  create domain object and model for contract,1h,1h
Subtask,Done,Major,  add receiver for creating contract,1h,6h
Subtask,Done,Major,  create domain object and model for price schedule item,-,2h
Subtask,Done,Major,  hook up create contract screen,-,41m
Subtask,Done,Major,  create controller for listing the contracts,1h,1h
Subtask,Done,Major,  add a receiver for deleting a contract,1h,20m
Subtask,Done,Major,  Add view client screen,-,1h
Subtask,Done,Major,  Add endpoint for uploading a file,2h,4h 37m
Subtask,Done,Major,  Add screen for Adding a Quote,1h,1h
Subtask,Done,Major,  Hook up service request view screen,1h,2h
Subtask,Done,Major,  Wireframe and client approval,2h,2h
Subtask,Done,Major,  Add endpoint for adding service request items,1h,5h 6m
Subtask,Done,Major,  Update the service request list screen columns,1h,3h
Subtask,Done,Major,  Rework Bills Vendor Quotes,1h,2h
Subtask,Done,Major,  Add FileService implementation for AWS that uses S3,-,1h 17m
Subtask,Done,Major,  Hook up screen for adding a Quote,1h,5h 10m
Subtask,Done,Major,  Update the items functionality to make edit behave similar to service request items,1h,1h 33m
Subtask,Done,Major,  Confirm vendor API works,2h,1h
Subtask,Done,Major,  Ensure add contact works,1h,2h 52m
Subtask,Done,Major,  Add endpoint for listing schedules,1h,30m
Subtask,Done,Major,  Add endpoint for upserting schedule,1h,1h 30m
Subtask,Done,Major,  Add endpoint for viewing schedule,20m,10m
Subtask,Done,Major,  Add endpoint for deleting schedule,-,30m
Subtask,Done,Major,  Add endppint for listing categories,1h,1h
Subtask,Done,Major,  add endpoint for upserting categories,1h,4h 42m
Subtask,Done,Major,  add endpoint for viewing categories,-,30m
Subtask,Done,Major,  add endpoint for deleting categories,-,10m
Subtask,Done,Major,  add endpoint for listing items,1h,25m
Subtask,Done,Major,  add endpoint for viewing items,30m,30m
Subtask,Done,Major,  Add for for creating categories,-,50m
Subtask,Done,Major,  Add endpoint for upserting expense,1h,2h 40m
Subtask,Done,Major,  Add screen for upserting expense,1h,2h
Subtask,Done,Major,  Update expense list to show aggregates,1h,1h
Subtask,Done,Major,  Add endpoint for upserting invoice,1h,2h
Subtask,Done,Major,  Add endoint for viewing invoice details,1h,10m
Subtask,Done,Major,  Add screen to list users,1h,1h
Subtask,To Do,Major,  Add screen to invite user,1h,1h 30m
Subtask,Done,Major,  ensure delete file works,1h,20m
Subtask,Done,Major,  AWS upload not working,-,2h
Subtask,Done,Major,  make it so that the price schedule items would not get overwritten from the initializer,1h,30m
Subtask,Done,Major,  Update the expense main list view,1h,1h
Subtask,Done,Major,  Add view contact endpoint,1h,10m
Subtask,Done,Major,  Add delete contact endpoint,1h,10m
Subtask,Done,Major,  Confirm upsert contact endpoint is setup,1h,2h 30m
Subtask,Done,Major,  Add endpoint so that admins can edit a user,1h,1h 30m
Subtask,Done,Major,  Add endpoint to get a users details,1h,1h 30m
Subtask,Done,Critical,  Add initializer for roles,1h,45m
Subtask,Done,Major,  First round QA on staging,1h,1h
Subtask,Done,Major,  Feedback,-,30m
Subtask,Done,Major,  Feedback,-,45m
Subtask,Done,Major,  Feedback,-,12m
Subtask,Done,Major,  Feedback,-,12m
Subtask,Done,Major,  Feedback,-,1h 10m
Subtask,Done,Major,  Feedback,-,1h 5m
Subtask,Done,Major,  Feedback,0m,1h 10m
Subtask,Done,Major,  feedback,-,2h
Subtask,Done,Major,  Feedback,-,40m
Subtask,Done,Major,  Feedback,-,20m
Subtask,Done,Major,  add receiver and endpoint to send confirmation email to requestor,1h,1h
Subtask,Done,Major,  Updated email template to show service request items and new copy,1h,1h
Subtask,Done,Major,  Create a vendor item domain entity,1h,1h
Subtask,Done,Major,  Update dashboard to show service request status,1h,47m
Subtask,Done,Major,  Add value object for message,15m,-
Subtask,To Do,Major,  Second Round QA on staging,1h,45m
Subtask,Done,Major,  Add form for creating schedule,1h,40m
Subtask,Done,Major,  Add gorm model for service request,30m,-
Subtask,Done,Major,  setup IAM on staging so that accounts can be managed,2h,1h 30m
Subtask,Done,Major,  integrate UI with IAM,1h,7h 30m
Subtask,Done,Major,  Update list on service request items to show cost,1h,30m
Subtask,To Do,Major,  Make markup view admin only,30m,-
Subtask,Done,Major,  Confirm edit is working,1h,20m
Subtask,Done,Major,  Ensure service request edit works,1h,20m
Subtask,Done,Minor,  Add filter by client,1h,10m
Task,To Do,Critical,Move over to client servers,4h,3h 10m
Subtask,Done,Major,  Create a receiver for creating a service request,1h,-
Subtask,Done,Major,  Add a handler that sends and email to the contact associated with the request,2h,1h
Subtask,Done,Major,  Add domain object for service request,1h,-
Subtask,Done,Major,  Add middleware that can be used to output any screen as a pdf,3h,2h
Subtask,Done,Major,  Make it so that an identifier is generated for service request,1h,-
Subtask,Done,Major,  Add screen for adding items to a service request,1h,-
Subtask,Done,Major,  Hook up screen for adding items to a service request,1h,1h
Subtask,Done,Major,  Add list screen,1h,-
Subtask,Done,Major,  Add edit screen,1h,-
Subtask,Done,Major,  Connect search,1h,-
Subtask,Done,Major,  Ensure contact edit works,1h,-
Subtask,Done,Major,  add screen for view screen for a schedule that shows categories,1h,-
Subtask,Done,Major,  Add form for creating items,1h,-
Subtask,To Do,Major,  Update UI to only show specific menus to a specific role,1h,-
Subtask,To Do,Major,  Update api to only allow admins on certain endpoints,1h,-
Subtask,To Do,Major,  Third Round QA on staging,1h,-
Subtask,To Do,Major,  First Round QA on prod,1h,-
Subtask,To Do,Major,  Second Round QA on prod,1h,-
Subtask,Done,Major,  Hook up confirmation send to front end,1h,-
Subtask,To Do,Major,  Add a receiver that zips all the related files to a service request and returns a link to the zip,1h,-
Subtask,To Do,Major,  Add button to download to create and download the zip,1h,-
Subtask,To Do,Major,  Add checkbox for admin to mark the service request as paid,1h,-
Subtask,Done,Major,  Update vendor view to list vendor items,1h,-
Subtask,Done,Major,  Add a form for creating a vendor item,2h,1h
Subtask,Done,Major,  Add command receiver and endpoint for creating vendor item,2h,1h
Subtask,In Progress,Major,  Update the expense form to show list of related vendor items to the selected service request items,2h,6h 30m
Subtask,Done,Major,  Add form for editing invoice,2h,40m
Task,Closed,Major,Create client service,2h,-
Subtask,Done,Major,  Hook up editing vendor quote screen,1h,1h
Subtask,Done,Major,  Create CSV of invoice,2h,-
Subtask,Done,Major,  create UI for creating a basic service request,-,-
Subtask,Done,Major,  Add screen for viewing a list of service requests,-,-
Subtask,Done,Major,  Add screen for view a service request,-,-
Subtask,Done,Major,  setup account domain object and gorm model,-,-
Subtask,Done,Major,  Add screen for editing a bill,-,-
Subtask,Done,Major,  add screen for listing schedules,-,-
Subtask,Done,Major,  Add view screen for categorie that shows items,-,-
Subtask,Done,Major,  remove previous email that was being sent,-,-
